internal_id,customer_label,rawseqs(R1+R2),trimmed_seqs(R1+R2),dada2_infered,chimera_seqs,chimera_free_seqs,unique_seqs,seqs(after_size_filtration),final_unique_seqs
zr9122_39V3V4,M20.g1.JMS,104636,96542,46399,5461,40938,194,40505,152
zr9122_40V3V4,M21.g1.JMS,85484,77304,37790,8547,29243,23,29152,16
zr9122_41V3V4,M22.g1.JMS,112552,102202,49660,8701,40959,121,40661,98
zr9122_42V3V4,M23.g1.JMS,93496,85212,39011,3364,35647,273,35239,219
zr9122_43V3V4,M24.g1.JMS,75618,67404,31388,4632,26756,63,26647,46
zr9122_44V3V4,M25.g1.JMS,85526,74702,36734,5792,30942,14,30858,12
zr9122_45V3V4,M27.g1.JMS,119138,106354,51610,10596,41014,41,40876,31
zr9122_46V3V4,M28.g1.JMS,125224,112824,53841,3288,50553,300,50237,283
zr9122_47V3V4,M35.g1.JMS,107944,97266,46502,7203,39299,160,39165,135
zr9122_48V3V4,M38.g1.JMS,101672,92878,43757,4342,39415,211,38958,151
zr9122_49V3V4,M40.g1.JMS,134138,122370,59531,6930,52601,109,52488,106
zr9122_50V3V4,M41.g1.JMS,132530,122878,56945,4726,52219,297,52017,248
zr9122_51V3V4,N11.g1.JMS,102656,94122,44016,2090,41926,338,41891,323
zr9122_52V3V4,N12.g1.JMS,88984,83062,40525,227,40298,85,40174,67
zr9122_53V3V4,N13.g1.JMS,70794,63380,31072,1937,29135,16,29118,13
zr9122_54V3V4,N14.g1.JMS,120616,105794,50871,3634,47237,35,46807,25
zr9122_55V3V4,N15.g1.JMS,124428,113480,56360,1402,54958,15,54948,13
zr9122_56V3V4,N16.g1.JMS,95788,86920,42987,1819,41168,37,40887,35
zr9122_57V3V4,N17.g1.JMS,75974,65948,32645,1385,31260,12,31260,12
zr9122_58V3V4,N18.g1.JMS,82046,72402,34486,442,34044,170,33919,165
zr9122_59V3V4,N19.g1.JMS,106724,98370,47905,652,47253,87,46715,55
zr9122_60V3V4,N20.g1.JMS,93928,83820,39482,296,39186,255,38889,210
zr9122_61V3V4,N21.g1.JMS,107886,96166,47109,455,46654,86,46530,66
zr9122_62V3V4,N22.g1.JMS,134864,122950,57772,1872,55900,375,55725,358
zr9122_63V3V4,N23.g1.JMS,93454,83802,39997,745,39252,109,38858,79
zr9122_64V3V4,N24.g1.JMS,54012,47558,23659,838,22821,6,22821,6
zr9122_65V3V4,N25.g1.JMS,164138,151946,74677,2153,72524,162,72504,158
zr9122_66V3V4,N26.g1.JMS,124766,117096,57252,3668,53584,176,53476,156
zr9122_67V3V4,N27.g1.JMS,121550,108892,52635,1325,51310,112,51242,109
zr9122_68V3V4,N28.g1.JMS,143286,125832,61153,5558,55595,18,55582,17
zr9122_69V3V4,M100.g1.BLMNW,135306,122786,60122,13970,46152,52,45789,33
zr9122_70V3V4,M101.g1.BLMNW,92810,84386,41186,8837,32349,63,32041,41
zr9122_71V3V4,M102.g1.BLMNW,82104,74208,34915,4152,30763,95,30542,73
zr9122_72V3V4,M103.g1.BLMNW,133298,122154,57783,4294,53489,302,52964,247
zr9122_73V3V4,M17.g1.BLMNW,99934,89442,40580,5372,35208,200,34685,150
zr9122_74V3V4,M19.g1.BLMNW,55538,47684,23519,1272,22247,14,22247,14
zr9122_75V3V4,M21.g1.BLMNW,156666,145606,66991,4223,62768,469,62173,370
zr9122_76V3V4,M23.g1.BLMNW,88350,76954,30795,1988,28807,363,28471,306
zr9122_77V3V4,M24.g1.BLMNW,42120,35862,17642,811,16831,8,16831,8
zr9122_78V3V4,M25.g1.BLMNW,106772,96750,43529,6334,37195,365,36441,278
zr9122_79V3V4,M26.g1.BLMNW,83718,73372,36027,1724,34303,63,34286,60
zr9122_80V3V4,M27.g1.BLMNW,113708,104294,50546,3315,47231,21,47133,19
zr9122_81V3V4,M28.g1.BLMNW,124534,113250,51024,4637,46387,563,45551,462
zr9122_82V3V4,M30.g1.BLMNW,150792,134532,66363,5616,60747,17,60747,17
zr9122_83V3V4,M31.g1.BLMNW,59242,52758,26084,1381,24703,14,24608,12
zr9122_84V3V4,M97.g1.BLMNW,126548,115564,57084,3611,53473,16,53464,13
zr9122_85V3V4,M98.g1.BLMNW,107156,96450,46784,8415,38369,144,37949,94
zr9122_86V3V4,N22.g1.BLMNW,110422,98428,48687,5104,43583,18,43316,14
zr9122_87V3V4,N23.g1.BLMNW,104270,93126,42400,1964,40436,480,40114,431
zr9122_88V3V4,N24.g1.BLMNW,105770,93658,42063,592,41471,440,41237,421
zr9122_89V3V4,N48.g1.BLMNW,101854,90786,44405,2156,42249,52,42215,46
zr9122_90V3V4,N81.g1.BLMNW,120796,111158,54003,1815,52188,148,52157,143
zr9122_91V3V4,N82.g1.BLMNW,120066,110658,50946,5764,45182,279,44947,243
zr9122_92V3V4,N83.g1.BLMNW,110552,94082,44337,302,44035,162,43970,157
zr9122_93V3V4,N85.g1.BLMNW,111062,101572,48165,8068,40097,184,39953,156
zr9122_94V3V4,N86.g1.BLMNW,97124,87926,43234,1303,41931,122,41897,117
zr9122_95V3V4,N89.g1.BLMNW,100238,91174,43330,2176,41154,129,41079,119
zr9122_96V3V4,N90.g1.BLMNW,94658,85794,41667,1458,40209,112,40206,111
zr9122_97V3V4,N91.g1.BLMNW,132648,121462,56954,5542,51412,366,51080,319
zr9122_98V3V4,N92.g1.BLMNW,129750,118968,52884,5839,47045,411,46498,338
zr9122_99V3V4,N93.g1.BLMNW,116134,107632,49295,5383,43912,309,43583,256
zr9122_100V3V4,N94.g1.BLMNW,109700,98024,46635,3562,43073,142,43026,133
zr9122_101V3V4,N98.g1.BLMNW,104722,96622,46513,1007,45506,233,45356,214
zr9122_102V3V4,M01.g1.JM,105380,97098,46287,792,45495,320,44968,279
zr9122_103V3V4,M02.g1.JM,102696,90878,40217,4256,35961,293,35677,242
zr9122_104V3V4,M05.g1.JM,107930,97300,47392,8457,38935,50,38636,28
zr9122_105V3V4,M06.g2.JM,105892,93238,42979,5927,37052,147,36666,95
zr9122_106V3V4,M07.g1.JM,118654,108232,51560,3274,48286,267,48174,249
zr9122_107V3V4,M08.g1.JM,106290,96764,44868,1119,43749,365,43522,329
zr9122_108V3V4,M09.g2.JM,96434,85870,40801,1323,39478,156,39333,138
zr9122_109V3V4,M10.g1.JM,99640,90338,44125,6785,37340,56,37062,45
zr9122_110V3V4,M11.g1.JM,112440,102762,49113,3238,45875,231,45841,224
zr9122_111V3V4,M12.g1.JM,123342,112434,53147,3082,50065,265,49845,242
zr9122_112V3V4,M13.g1.JM,122696,110656,52379,2254,50125,344,50049,329
zr9122_113V3V4,M14.g1.JM,94880,87426,41778,1360,40418,213,40381,200
zr9122_114V3V4,M43.g1.JM,126882,115438,54687,2038,52649,371,52145,319
zr9122_115V3V4,M44.g1.JM,100358,90838,41226,1498,39728,487,39473,446
